time,party,strategy,votes,x,y
0,P0,random,331,0.8370898445940341,0.6345254395740807
1,P0,random,325,0.8363447320076918,0.6295534445874268
2,P0,random,324,0.8369223502142283,0.6268402493031344
3,P0,random,318,0.8327543282896863,0.6284349344450993
4,P0,random,316,0.8334851818624033,0.6316025308169435
5,P0,random,314,0.8361132225536418,0.6285528559151566
6,P0,random,311,0.8354193243837321,0.6249498488148763
7,P0,random,307,0.833813089486967,0.6257115756493371
8,P0,random,305,0.8368670512317717,0.62911215594421
9,P0,random,301,0.8357014345958976,0.6298557019191587
10,P0,random,300,0.832694561088408,0.6337125109299285
11,P0,random,298,0.8339292684891733,0.6332650068714027
12,P0,random,294,0.8290328522835512,0.6284756313907809
13,P0,random,296,0.8337901419808221,0.6262207696055393
14,P0,random,290,0.8303553236414456,0.6304356591734159
15,P0,random,290,0.8307123175232456,0.6318471054444096
16,P0,random,286,0.826664370149934,0.6293478787117658
17,P0,random,284,0.8271806771463618,0.6323853519912205
18,P0,random,280,0.8278256388664474,0.6290751296761472
19,P0,random,278,0.8292038355765867,0.6338821359297645
20,P0,random,275,0.8291870039560775,0.6366771931078875
21,P0,random,271,0.8319429497443055,0.6364588249732088
22,P0,random,270,0.8332106635194433,0.6406698610510769
23,P0,random,266,0.8335140360255353,0.6365893280820877
24,P0,random,265,0.8309809410638828,0.636167747343073
25,P0,random,263,0.8296653400311502,0.6393982132297154
26,P0,random,261,0.824899729906361,0.64420920497502
27,P0,random,257,0.8251335429253424,0.6462663032824317
28,P0,random,256,0.8212617928087349,0.6461536710749195
29,P0,random,253,0.8206897062573676,0.6418658168165716
30,P0,random,253,0.822979912026205,0.637151099747146
31,P0,random,255,0.8187647730363423,0.6336790489071218
32,P0,random,254,0.8138684223875838,0.6382360312960103
33,P0,random,251,0.8123789986615333,0.6356906540982291
34,P0,random,251,0.8100136929591178,0.6348721202197871
35,P0,random,246,0.8122840454981719,0.6305525142093608
36,P0,random,244,0.8077608377250884,0.6350167721976155
37,P0,random,242,0.8100197224985153,0.6310774162489935
38,P0,random,237,0.8113782683553747,0.6341889711500212
39,P0,random,233,0.8072517473869887,0.6383111355976424
40,P0,random,229,0.8058307935392907,0.6339140726111614
41,P0,random,224,0.8052666416583132,0.6356504972712905
42,P0,random,225,0.807406810479764,0.6338748467978175
43,P0,random,224,0.8098326920153632,0.6363055360156358
44,P0,random,222,0.8050836694693801,0.633306520080185
45,P0,random,225,0.8019750087625374,0.6344896507415971
46,P0,random,221,0.806657309270117,0.6309009430789514
47,P0,random,224,0.8098184213687213,0.6315994108451561
48,P0,random,231,0.8083119492597637,0.6290292687558794
49,P0,random,240,0.8132070099494303,0.6329154008306073
50,P0,random,231,0.8092193644978062,0.6331165212875772
51,P0,random,240,0.8136910679847004,0.6370347829470568
52,P0,random,231,0.8126797304708997,0.6330955516541366
53,P0,random,238,0.8093077370751802,0.6329626856548721
54,P0,random,242,0.8089868442523922,0.6336132959587568
55,P0,random,243,0.8090898428804943,0.6341235130085423
56,P0,random,242,0.80536234929414,0.6370335418417383
57,P0,random,244,0.8048734569179747,0.632880829320353
58,P0,random,250,0.805372785738826,0.627942475336936
59,P0,random,246,0.8022713430379409,0.6243985843525334
60,P0,random,245,0.8051919156615167,0.6264181054210258
61,P0,random,241,0.8022348386738347,0.6254779174492379
62,P0,random,243,0.7997561923119406,0.6281118160127891
63,P0,random,249,0.8006843661809716,0.6274233850831711
64,P0,random,246,0.8014352469853588,0.6272146700656187
65,P0,random,242,0.8063405132309732,0.6244183784091102
66,P0,random,243,0.8075930633419,0.6291213650765869
67,P0,random,242,0.805583101521236,0.6277103007954247
68,P0,random,238,0.8094108138073061,0.6229082213133929
