time,party,strategy,votes,x,y
0,P0,random,171,0.19506456291700217,0.4783942063792878
1,P0,random,170,0.1901910132471699,0.4821840436098663
2,P0,random,171,0.19381941304434008,0.4856673800385209
3,P0,random,172,0.19549357243450843,0.48691467506019814
4,P0,random,173,0.19053262589296358,0.4884154161828636
5,P0,random,174,0.19496147536459035,0.48418209591407374
6,P0,random,171,0.19316337780333914,0.4802972697410869
7,P0,random,171,0.19043975543702388,0.4773358971719944
8,P0,random,171,0.19162186742075027,0.4725044643172153
9,P0,random,168,0.19473418342917065,0.4772904842943884
10,P0,random,170,0.19032919081216726,0.47298412076246815
11,P0,random,168,0.1889426267047652,0.47487608780054674
12,P0,random,168,0.19250682438479594,0.4771447818506184
13,P0,random,170,0.18958257813070203,0.4819691631913885
14,P0,random,171,0.1880407167935027,0.48156415298003247
15,P0,random,171,0.18604972009573933,0.47797394384242625
16,P0,random,171,0.1867028254717997,0.4769981341751926
17,P0,random,171,0.1858398821304381,0.47723403837814843
18,P0,random,171,0.18291619864885603,0.4741098864504553
19,P0,random,167,0.17806299995650784,0.47544827465434153
20,P0,random,169,0.17771946945029837,0.47228351262498897
21,P0,random,166,0.17415386825569978,0.4730097233516256
22,P0,random,165,0.16995952256808153,0.4708075577873223
23,P0,random,166,0.16906759800698007,0.4732298037130267
24,P0,random,166,0.1732124269822004,0.4719064678532331
25,P0,random,165,0.17670838854109502,0.46994020661859726
26,P0,random,166,0.17692561393707443,0.46764298680947564
27,P0,random,165,0.172369343107858,0.4669790180558813
28,P0,random,165,0.16922203392102877,0.4643720838667281
29,P0,random,164,0.1685875853435779,0.4639428983460561
30,P0,random,162,0.16836382936852165,0.46767009610583615
31,P0,random,166,0.16605596709349327,0.4726441036044024
32,P0,random,165,0.16752191147063974,0.47026461960896315
33,P0,random,164,0.17058988301910416,0.46971293822331367
34,P0,random,165,0.17507859210631715,0.47023248845173055
35,P0,random,166,0.17234970178071043,0.47282534135791054
36,P0,random,165,0.16853398268831435,0.47475773234754726
37,P0,random,166,0.17096728848325166,0.47228640040749037
38,P0,random,166,0.17464126071824282,0.47303524464501184
39,P0,random,166,0.17429997833356198,0.4698099372289986
40,P0,random,166,0.1750977274972965,0.4704371552492847
41,P0,random,166,0.1740020852942181,0.4705096453507199
42,P0,random,166,0.17355702818210358,0.4680012869407506
43,P0,random,166,0.17474523937891595,0.4636898868619196
