time,party,strategy,votes,x,y
0,P0,hunter,9,0.2674465670834092,0.8595783628364957
1,P0,hunter,6,0.3586038730194571,0.8184645503827501
2,P0,hunter,5,0.2874452337388053,0.7482046894682417
3,P0,hunter,7,0.2162865944581535,0.6779448285537333
4,P0,hunter,21,0.1451279551775017,0.6076849676392249
5,P0,hunter,33,0.0739693158968499,0.5374251067247164
6,P0,hunter,27,0.03639680177761438,0.6300982213953686
7,P0,hunter,22,0.13584972510267934,0.6405440838345715
8,P0,hunter,32,0.2353026484277443,0.6509899462737744
9,P0,hunter,26,0.14169589209282202,0.686171975329167
0,P1,predator,43,0.2537048487386837,0.657254862319593
1,P1,predator,44,0.2537048487386837,0.657254862319593
2,P1,predator,37,0.2537048487386837,0.657254862319593
3,P1,predator,29,0.350336354540759,0.6315186604548366
4,P1,predator,27,0.4469678603428343,0.6057824585900804
5,P1,predator,19,0.34860600205027686,0.587756232328468
6,P1,predator,16,0.4463549546892802,0.5666578376507234
7,P1,predator,26,0.5418121770212513,0.5368598728768561
8,P1,predator,24,0.4480979904359105,0.5717547325648952
9,P1,predator,22,0.5422958107991959,0.5381873281551675
0,P2,predator,11,0.6177771981662326,0.6362993943579088
1,P2,predator,6,0.5179424369029058,0.642045736106755
2,P2,predator,3,0.4181076756395789,0.6477920778556011
3,P2,predator,12,0.507915123654388,0.6038077365388625
4,P2,predator,3,0.5977225716691971,0.5598233952221239
5,P2,predator,29,0.4978138885373202,0.5555508041049881
6,P2,predator,32,0.4978138885373202,0.5555508041049881
7,P2,predator,1,0.5911167863116704,0.5195706808852274
8,P2,predator,26,0.49731071482224404,0.5542177724185817
9,P2,predator,32,0.49731071482224404,0.5542177724185817
0,P3,random,11,0.6035345635663737,0.8366968293752315
1,P3,random,12,0.6294065137552262,0.8138651199862884
2,P3,random,18,0.604459836329025,0.7900139777208061
3,P3,random,17,0.5612312844499002,0.8056032670078657
4,P3,random,14,0.5851218338724774,0.836693136681835
5,P3,random,14,0.5468100107291304,0.8299807092310826
6,P3,random,21,0.5377214743214203,0.7917280696642659
7,P3,random,19,0.5831677001365085,0.8224523811138996
8,P3,random,18,0.5373747722521617,0.8095869419881724
9,P3,random,19,0.5551086086191513,0.8217849415886761
0,P4,predator,26,0.6683590894083087,0.5468185697939568
1,P4,predator,32,0.5717275836062333,0.572554771658713
2,P4,predator,37,0.5717275836062333,0.572554771658713
3,P4,predator,35,0.5717275836062333,0.572554771658713
4,P4,predator,35,0.5717275836062333,0.572554771658713
5,P4,predator,5,0.47197570393715105,0.5655147075620637
6,P4,predator,4,0.5652786017115012,0.5295345843423029
7,P4,predator,32,0.5652786017115012,0.5295345843423029
8,P4,predator,0,0.47143371021788383,0.5640763900355665
9,P4,predator,1,0.5648816293948066,0.528474614777817
