time,party,strategy,votes,x,y
0,P0,predator,84,0.9591051513294072,0.5068024912984683
1,P0,predator,86,0.9496135750006715,0.5036544794186015
2,P0,predator,84,0.9401219986719357,0.5005064675387347
3,P0,predator,84,0.9306304223431999,0.49735845565886794
4,P0,predator,88,0.9211388460144642,0.49421044377900114
5,P0,predator,90,0.9116472696857284,0.49106243189913434
6,P0,predator,92,0.9021556933569926,0.48791442001926755
7,P0,predator,92,0.8926641170282569,0.48476640813940075
8,P0,predator,92,0.8831725406995211,0.48161839625953395
9,P0,predator,96,0.8736809643707854,0.47847038437966716
10,P0,predator,97,0.8641893880420496,0.47532237249980036
11,P0,predator,96,0.8546978117133138,0.47217436061993356
12,P0,predator,98,0.8452062353845781,0.46902634874006677
13,P0,predator,101,0.8357146590558423,0.46587833686019997
14,P0,predator,102,0.8262230827271065,0.4627303249803332
15,P0,predator,105,0.8167315063983708,0.4595823131004664
16,P0,predator,110,0.807239930069635,0.4564343012205996
17,P0,predator,111,0.7977483537408993,0.4532862893407328
18,P0,predator,115,0.7882567774121635,0.450138277460866
19,P0,predator,118,0.7787652010834277,0.4469902655809992
20,P0,predator,121,0.769273624754692,0.4438422537011324
21,P0,predator,120,0.7597820484259562,0.4406942418212656
22,P0,predator,122,0.7502904720972204,0.4375462299413988
23,P0,predator,124,0.7407988957684847,0.434398218061532
24,P0,predator,125,0.7313073194397489,0.4312502061816652
25,P0,predator,125,0.7218157431110132,0.42810219430179836
26,P0,predator,130,0.7123241667822774,0.42495418242193156
27,P0,predator,130,0.7028325904535416,0.42180617054206476
28,P0,predator,131,0.6933410141248059,0.4186581586621979
29,P0,predator,131,0.6838494377960701,0.4155101467823311
30,P0,predator,132,0.6743578614673343,0.41236213490246426
31,P0,predator,134,0.6648662851385986,0.40921412302259746
32,P0,predator,129,0.6553747088098628,0.40606611114273067
33,P0,predator,129,0.645883132481127,0.40291809926286376
34,P0,predator,380,0.645883132481127,0.40291809926286376
35,P0,predator,122,0.6363915561523913,0.39977008738299685
36,P0,predator,385,0.6363915561523913,0.39977008738299685
37,P0,predator,120,0.6268999798236555,0.39662207550312994
38,P0,predator,379,0.6268999798236555,0.39662207550312994
39,P0,predator,124,0.6174084034949198,0.39347406362326304
40,P0,predator,373,0.6174084034949198,0.39347406362326304
41,P0,predator,129,0.607916827166184,0.39032605174339613
42,P0,predator,369,0.607916827166184,0.39032605174339613
43,P0,predator,126,0.5984252508374482,0.3871780398635292
44,P0,predator,365,0.5984252508374482,0.3871780398635292
45,P0,predator,129,0.5889336745087125,0.3840300279836623
46,P0,predator,355,0.5889336745087125,0.3840300279836623
47,P0,predator,127,0.5794420981799767,0.3808820161037954
48,P0,predator,351,0.5794420981799767,0.3808820161037954
49,P0,predator,122,0.569950521851241,0.3777340042239285
50,P0,predator,345,0.569950521851241,0.3777340042239285
51,P0,predator,126,0.5604589455225052,0.3745859923440616
52,P0,predator,336,0.5604589455225052,0.3745859923440616
53,P0,predator,113,0.5509673691937694,0.3714379804641947
54,P0,predator,327,0.5509673691937694,0.3714379804641947
55,P0,predator,102,0.5414757928650337,0.3682899685843278
56,P0,predator,318,0.5414757928650337,0.3682899685843278
57,P0,predator,89,0.5396801540646013,0.37812743173792496
58,P0,predator,95,0.5301482777044926,0.37510363725820267
59,P0,predator,306,0.5301482777044926,0.37510363725820267
60,P0,predator,84,0.5279347812091956,0.3848555823598379
61,P0,predator,86,0.5255077314156963,0.3945565838184439
62,P0,predator,92,0.522861978461923,0.40420023412875683
63,P0,predator,98,0.5199929262908268,0.41377982387151346
64,P0,predator,101,0.5168962197043041,0.4232882626664464
65,P0,predator,107,0.5135680943708865,0.43271819277037954
66,P0,predator,111,0.5040159338792269,0.42975910001387807
67,P0,predator,296,0.5040159338792269,0.42975910001387807
68,P0,predator,87,0.5002223690093891,0.43901160592191896
69,P0,predator,93,0.49619435320293154,0.44816447916822405
70,P0,predator,95,0.48667933253257345,0.44508805565338433
71,P0,predator,290,0.48241797468302894,0.4541346477895495
