time,party,strategy,votes,x,y
0,P0,random,261,0.24361494945302384,0.8637459209223739
1,P0,random,223,0.2468279870360989,0.8586798919024906
2,P0,random,194,0.25913323103364705,0.8729088254361187
3,P0,random,200,0.2382587198638856,0.8563811320755543
4,P0,random,199,0.27747854535345795,0.8541802339270785
5,P0,random,230,0.2896774903329801,0.8601869641556757
6,P0,random,250,0.29711388023715923,0.9075858396997212
7,P0,random,192,0.27043162032052465,0.9190568899342106
8,P0,random,201,0.22145032113441893,0.9550012824610071
9,P0,random,196,0.26442387941607215,0.90989771893584
10,P0,random,203,0.26599618154129223,0.9042104118663381
11,P0,random,221,0.3131962871865746,0.8742007687647892
12,P0,random,222,0.2839386188021698,0.9209087850476141
13,P0,random,166,0.305106697015992,0.8748812774182514
14,P0,random,204,0.3391445726905472,0.85957011362747
15,P0,random,213,0.28936326296097303,0.8973958070999958
16,P0,random,195,0.2823431586421285,0.8927372727787964
17,P0,random,183,0.26827545070390146,0.9350341385672285
18,P0,random,186,0.3115280979599469,0.9480829402286703
19,P0,random,175,0.28814874646268257,0.8986228236333939
20,P0,random,195,0.24926243010834653,0.8515819586085267
21,P0,random,201,0.2722910563521152,0.8387348027137181
22,P0,random,216,0.2403558957124366,0.8483989528662551
23,P0,random,201,0.19149142729759105,0.8664227598293361
24,P0,random,191,0.15799814713930924,0.8257467542281074
25,P0,random,187,0.11727063772444582,0.8180323518428938
26,P0,random,184,0.14350395446711126,0.7686120832823335
27,P0,random,198,0.1594340597921002,0.73670917520462
28,P0,random,221,0.14171861710245542,0.7109280397230208
29,P0,random,211,0.11406805108396248,0.7302698635876538
30,P0,random,212,0.07335232731169958,0.7692657476996405
31,P0,random,179,0.05094826369567623,0.7268256690899221
32,P0,random,187,0.034467811815205876,0.7011121990702871
33,P0,random,175,0.07010790302612013,0.7104662793583869
34,P0,random,193,0.052407706613842905,0.7015921566752625
35,P0,random,180,0.06172149028479925,0.671497288038855
36,P0,random,191,0.09776053251704275,0.7208054866632628
37,P0,random,198,0.11992330547582612,0.7353763448936553
38,P0,random,213,0.09594430686052494,0.7052852821949458
39,P0,random,197,0.11837860190560263,0.6874072405589473
40,P0,random,217,0.09355035769939483,0.7148263476951815
41,P0,random,197,0.1401188504759865,0.7304396661786359
42,P0,random,218,0.12147067334851387,0.7348031782893883
43,P0,random,202,0.11777525380354982,0.7705301840488432
44,P0,random,198,0.10182633711504686,0.8008142244142119
45,P0,random,179,0.0801778442570675,0.7530742753139176
46,P0,random,194,0.08064062562754479,0.7886568011138672
47,P0,random,180,0.07257133034500772,0.8380485787964566
48,P0,random,169,0.032331337619263,0.817005741543543
49,P0,random,153,0.040982116118251574,0.8638698901145716
50,P0,random,152,0.04593088878099822,0.8488447161238977
51,P0,random,148,0.003949664042494118,0.8657966097148595
52,P0,random,143,0.005422594641981261,0.8998381112544553
53,P0,random,126,0.009137625073866907,0.8700200437862732
54,P0,random,144,0.02355964224523993,0.9056891670788301
55,P0,random,128,-0.0066386154995531806,0.8576995733061721
56,P0,random,140,0.04081650861456597,0.8521433329495746
57,P0,random,147,0.0823376590899135,0.8874828376422278
58,P0,random,159,0.12276394166805243,0.8638205158042785
59,P0,random,167,0.07646311672569632,0.8846494907353166
60,P0,random,158,0.08838643003208045,0.8389310731971252
61,P0,random,166,0.1352720454315825,0.8657230127122444
62,P0,random,177,0.11957631958165439,0.8244669452313186
63,P0,random,173,0.1390215788408331,0.8137136674584742
64,P0,random,193,0.11809072680800028,0.8318308523846412
65,P0,random,171,0.09126239991187082,0.8538768229824634
66,P0,random,169,0.11875279167736753,0.826781846918534
67,P0,random,172,0.10486724707602064,0.7772630510052171
68,P0,random,195,0.07001234445292989,0.7573454205652239
69,P0,random,179,0.1034814942973196,0.7742825455543043
70,P0,random,195,0.1301493952563952,0.793843739242006
71,P0,random,187,0.09250362787258216,0.8003023180978285
72,P0,random,188,0.09033208681085796,0.8377027541744566
73,P0,random,166,0.11809316606763891,0.8463327200004198
74,P0,random,174,0.09820856412628216,0.8672345971799865
75,P0,random,159,0.07583955649297183,0.8180167797936235
76,P0,random,176,0.060530662790799,0.8309381569460682
77,P0,random,158,0.059040460371613875,0.8284721497696458
78,P0,random,165,0.09352366755697121,0.8413102717781592
79,P0,random,165,0.13655847276843677,0.8848179195765047
80,P0,random,171,0.08943745897839508,0.8483949061222844
81,P0,random,164,0.10174870211304998,0.8182424901619195
82,P0,random,179,0.05421895095964354,0.8677499982632957
83,P0,random,146,0.09296548962936127,0.843661976247493
84,P0,random,173,0.11569441532408925,0.8008360422846801
85,P0,random,179,0.11298553326899782,0.8468262372423155
86,P0,random,173,0.1579853640345964,0.8617158097169106
87,P0,random,179,0.14866917862702458,0.86499304364493
88,P0,random,184,0.1930531333950911,0.8462549555900047
89,P0,random,192,0.17675614887624985,0.880027158628169
90,P0,random,186,0.13415439846567623,0.846948836629958
91,P0,random,173,0.1771822419850089,0.8478365119785511
92,P0,random,195,0.12865501692343767,0.8069087704065773
93,P0,random,180,0.1552172788939839,0.8040544586320428
94,P0,random,203,0.17385843477000074,0.8061340656504803
95,P0,random,198,0.19095623538035544,0.7691637473081409
96,P0,random,220,0.22356609653651374,0.719439295712457
97,P0,random,230,0.2601853861635759,0.6879464750793461
98,P0,random,261,0.24014891926593046,0.7106136628176987
99,P0,random,235,0.20463507774237236,0.6660050747265094
100,P0,random,251,0.18053317424137183,0.6772379174079731
101,P0,random,229,0.19201476761965144,0.7006559395697038
102,P0,random,241,0.1815594184424578,0.6872421153561333
103,P0,random,228,0.17250735251701804,0.6394549673522368
104,P0,random,248,0.13533072843048718,0.6360918483305511
105,P0,random,213,0.08629246882540723,0.5877310887940173
106,P0,random,216,0.07640592141701834,0.5568746630385364
107,P0,random,201,0.07032889351259485,0.5135683744147388
108,P0,random,218,0.0652997453256819,0.5318592086265781
109,P0,random,199,0.04749766728154749,0.5470838908796314
110,P0,random,205,0.00041481321596072845,0.5117445711077763
111,P0,random,182,-0.019245267470643937,0.5121047610752156
112,P0,random,182,-0.025363910891775157,0.4812146334592721
113,P0,random,169,-0.03865570230529239,0.4644470526383514
114,P0,random,176,-0.01367995535184971,0.4557701840238591
115,P0,random,169,-0.005367395294031135,0.4856244434381779
116,P0,random,187,0.029991978145438775,0.4706367764098952
117,P0,random,194,0.013824342580121579,0.43203645600224483
118,P0,random,195,-0.016732048054301125,0.4733795977588551
119,P0,random,171,-0.00899493687939052,0.46964204353369926
120,P0,random,187,-0.01984452366067599,0.4299209335730426
121,P0,random,167,-0.04518056751478728,0.3889995316013447
122,P0,random,169,-0.0733319179465177,0.4339558035270876
123,P0,random,147,-0.027534748813204703,0.4512885194336562
124,P0,random,179,-0.024442422995863647,0.417004182468245
125,P0,random,163,-0.02941243724453998,0.3672476539370206
126,P0,random,171,-0.0011952637963746904,0.3250672185243443
127,P0,random,150,-0.049693609888050994,0.35135576823329406
128,P0,random,155,-0.034826482758154545,0.31288612228442947
129,P0,random,130,-0.02856583977794103,0.35909984850445664
130,P0,random,168,-0.021178315946531336,0.39306231396800567
131,P0,random,163,0.022798928606402515,0.37901486637824167
132,P0,random,192,-0.021310348592865916,0.3793732431222056
133,P0,random,159,-0.052793958830251515,0.4082073030579386
134,P0,random,167,-0.059705074115149054,0.44017008056776924
135,P0,random,154,-0.06683160161004192,0.41288683449271363
136,P0,random,160,-0.11561888828023804,0.3642203432209774
137,P0,random,114,-0.09899894017073972,0.38545366522024416
138,P0,random,141,-0.11667956282079003,0.39834216475589024
139,P0,random,129,-0.1529035578298922,0.36419026120585135
140,P0,random,113,-0.15947946352384926,0.413512481057566
141,P0,random,110,-0.16139118005019973,0.44248040558186763
142,P0,random,130,-0.178941297000881,0.40518766274743384
143,P0,random,99,-0.16462321995914217,0.36482154716877013
144,P0,random,107,-0.1314151470260367,0.3194416184914307
145,P0,random,96,-0.08590724541806768,0.35357671904729887
146,P0,random,143,-0.10127207791049037,0.33693980627018016
147,P0,random,110,-0.09992651189028504,0.3587998074673899
148,P0,random,137,-0.056180511458507776,0.38801932544308815
149,P0,random,148,-0.05543033593267148,0.42054851630165685
150,P0,random,165,-0.09451619612426693,0.4642523840883629
151,P0,random,143,-0.13325836105984046,0.4868848188881996
152,P0,random,140,-0.1676400797377601,0.4714178954324502
153,P0,random,118,-0.2071641390980219,0.44619775393097405
154,P0,random,109,-0.2222474560893252,0.40480029265629913
155,P0,random,78,-0.22018346137588066,0.42969687714979915
156,P0,random,101,-0.18921597697132986,0.45146550500029087
157,P0,random,108,-0.15347283184222338,0.44119813025790927
158,P0,random,132,-0.17961547117382226,0.39823600391771397
159,P0,random,94,-0.1337377937097439,0.3780521439523736
160,P0,random,129,-0.09821595028933924,0.3933310842400596
161,P0,random,131,-0.14283327119928738,0.3711310826354037
162,P0,random,119,-0.1427337100667894,0.33067935339700094
163,P0,random,94,-0.13193650738757062,0.34503419374813027
164,P0,random,117,-0.106657716650047,0.31912888199133066
165,P0,random,103,-0.11057944866588203,0.33989878862400386
166,P0,random,125,-0.06183707401846651,0.29187018400224096
167,P0,random,110,-0.035513274838161225,0.308291437204235
168,P0,random,148,-0.08203421610363477,0.34117343406664596
169,P0,random,118,-0.04998625001311529,0.34437234924007465
170,P0,random,151,-0.0980829506006467,0.3453845354533478
171,P0,random,113,-0.09724510742532928,0.3490402006133816
172,P0,random,133,-0.116463308037911,0.3489510563108415
173,P0,random,108,-0.14323480654845122,0.3442133771027334
174,P0,random,111,-0.1260080640828474,0.3042613005158229
175,P0,random,97,-0.12984527592107906,0.34150959449368623
176,P0,random,117,-0.1673520678120945,0.36694480376646127
177,P0,random,94,-0.13256349691465086,0.4025780651733383
178,P0,random,133,-0.08701380330432693,0.39486689376460116
179,P0,random,138,-0.11801475348893527,0.3806568400161499
180,P0,random,134,-0.09336403361418713,0.40235486461606434
181,P0,random,136,-0.12408346734968469,0.3715565465103304
182,P0,random,129,-0.14131240235314688,0.40212953562889353
183,P0,random,116,-0.12299416454109824,0.39653172312268076
184,P0,random,134,-0.07464058176625438,0.42418895646214083
185,P0,random,146,-0.10573677431059454,0.4511525821792247
186,P0,random,147,-0.12523941120509566,0.47556768669946026
187,P0,random,133,-0.17108013632393396,0.49457645361820807
188,P0,random,129,-0.15423918711895138,0.48834966210810643
189,P0,random,126,-0.15316798012172214,0.4939323043143328
190,P0,random,135,-0.1318548554924237,0.4941761572154059
191,P0,random,131,-0.14464884379068368,0.46501255652519674
192,P0,random,135,-0.18630936228641334,0.42622593354545374
193,P0,random,102,-0.21478105091041866,0.4508840342864307
194,P0,random,107,-0.23618598780077027,0.4642629456709419
195,P0,random,88,-0.1881648516060039,0.5080001903460116
196,P0,random,118,-0.1544340598724671,0.5539099709719661
197,P0,random,127,-0.10916528928261518,0.5570423687832728
198,P0,random,150,-0.09918748771488174,0.5754543616423006
199,P0,random,145,-0.13927885304403015,0.6035946531975047
0,P1,predator,120,0.15511427771811576,0.7196616513553861
1,P1,predator,147,0.21820043329515143,0.6420721096986005
2,P1,predator,171,0.2927767896304985,0.575451038889559
3,P1,predator,211,0.3707272260781598,0.5128113593116818
4,P1,predator,211,0.4609951836074783,0.4697800237120847
5,P1,predator,216,0.5543481399450032,0.4339299812707684
6,P1,predator,200,0.5066236508685862,0.5218070154856015
7,P1,predator,173,0.6060084379477858,0.510731632999107
8,P1,predator,219,0.7054272658787506,0.5214971637725154
9,P1,predator,261,0.7054272658787506,0.5214971637725154
10,P1,predator,223,0.7054272658787506,0.5214971637725154
11,P1,predator,242,0.7054272658787506,0.5214971637725154
12,P1,predator,215,0.6328411626205378,0.590281301579048
13,P1,predator,264,0.6328411626205378,0.590281301579048
14,P1,predator,194,0.559564629825926,0.5222331587564831
15,P1,predator,159,0.6428035404818854,0.5776523228859538
16,P1,predator,70,0.5595646298259259,0.5222331587564831
17,P1,predator,169,0.6428035404818854,0.5776523228859538
18,P1,predator,70,0.5595646298259259,0.5222331587564831
19,P1,predator,183,0.6428035404818854,0.5776523228859538
20,P1,predator,70,0.5595646298259259,0.5222331587564831
21,P1,predator,158,0.6428035404818854,0.5776523228859538
22,P1,predator,70,0.5595646298259259,0.5222331587564831
23,P1,predator,157,0.6428035404818854,0.5776523228859538
24,P1,predator,70,0.5595646298259259,0.5222331587564831
25,P1,predator,163,0.6428035404818854,0.5776523228859538
26,P1,predator,70,0.5595646298259259,0.5222331587564831
27,P1,predator,154,0.6428035404818854,0.5776523228859538
28,P1,predator,70,0.5595646298259259,0.5222331587564831
29,P1,predator,147,0.6428035404818854,0.5776523228859538
30,P1,predator,70,0.5595646298259259,0.5222331587564831
31,P1,predator,168,0.6428035404818854,0.5776523228859538
32,P1,predator,70,0.5595646298259259,0.5222331587564831
33,P1,predator,171,0.6428035404818854,0.5776523228859538
34,P1,predator,70,0.5595646298259259,0.5222331587564831
35,P1,predator,167,0.6428035404818854,0.5776523228859538
36,P1,predator,70,0.5595646298259259,0.5222331587564831
37,P1,predator,157,0.6428035404818854,0.5776523228859538
38,P1,predator,70,0.5595646298259259,0.5222331587564831
39,P1,predator,157,0.6428035404818854,0.5776523228859538
40,P1,predator,70,0.5595646298259259,0.5222331587564831
41,P1,predator,157,0.6428035404818854,0.5776523228859538
42,P1,predator,70,0.5595646298259259,0.5222331587564831
43,P1,predator,154,0.6428035404818854,0.5776523228859538
44,P1,predator,70,0.5595646298259259,0.5222331587564831
45,P1,predator,167,0.6428035404818854,0.5776523228859538
46,P1,predator,70,0.5595646298259259,0.5222331587564831
47,P1,predator,168,0.6428035404818854,0.5776523228859538
48,P1,predator,70,0.5595646298259259,0.5222331587564831
49,P1,predator,180,0.6428035404818854,0.5776523228859538
50,P1,predator,70,0.5595646298259259,0.5222331587564831
51,P1,predator,185,0.6428035404818854,0.5776523228859538
52,P1,predator,70,0.5595646298259259,0.5222331587564831
53,P1,predator,198,0.6428035404818854,0.5776523228859538
54,P1,predator,70,0.5595646298259259,0.5222331587564831
55,P1,predator,198,0.6428035404818854,0.5776523228859538
56,P1,predator,70,0.5595646298259259,0.5222331587564831
57,P1,predator,185,0.6428035404818854,0.5776523228859538
58,P1,predator,70,0.5595646298259259,0.5222331587564831
59,P1,predator,173,0.6428035404818854,0.5776523228859538
60,P1,predator,70,0.5595646298259259,0.5222331587564831
61,P1,predator,172,0.6428035404818854,0.5776523228859538
62,P1,predator,70,0.5595646298259259,0.5222331587564831
63,P1,predator,168,0.6428035404818854,0.5776523228859538
64,P1,predator,70,0.5595646298259259,0.5222331587564831
65,P1,predator,169,0.6428035404818854,0.5776523228859538
66,P1,predator,70,0.5595646298259259,0.5222331587564831
67,P1,predator,168,0.6428035404818854,0.5776523228859538
68,P1,predator,70,0.5595646298259259,0.5222331587564831
69,P1,predator,167,0.6428035404818854,0.5776523228859538
70,P1,predator,70,0.5595646298259259,0.5222331587564831
71,P1,predator,161,0.6428035404818854,0.5776523228859538
72,P1,predator,70,0.5595646298259259,0.5222331587564831
73,P1,predator,172,0.6428035404818854,0.5776523228859538
74,P1,predator,70,0.5595646298259259,0.5222331587564831
75,P1,predator,177,0.6428035404818854,0.5776523228859538
76,P1,predator,70,0.5595646298259259,0.5222331587564831
77,P1,predator,176,0.6428035404818854,0.5776523228859538
78,P1,predator,70,0.5595646298259259,0.5222331587564831
79,P1,predator,173,0.6428035404818854,0.5776523228859538
80,P1,predator,70,0.5595646298259259,0.5222331587564831
81,P1,predator,174,0.6428035404818854,0.5776523228859538
82,P1,predator,70,0.5595646298259259,0.5222331587564831
83,P1,predator,186,0.6428035404818854,0.5776523228859538
